incident_number,date_reported,date_occurred,badge_id,offense_classification,offense_code_name,nibrs_code,nibrs_group_name,was_offense_completed,lmpd_division,lmpd_beat,location_category,block_address,city,zip_code,ObjectId
LMPD25080477,7/11/2025 3:29:00 PM,5/10/2024 4:00:00 AM,2469,29 FRAUD IMPERSONATION,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT 514.160 23310 26C,26C,A,YES,2ND DIVISION,211,RESIDENCE/HOME,600 BLOCK S 44TH ST,LOUISVILLE,40211,1
LMPD25007349,1/23/2025 5:14:00 PM,12/15/2024 3:40:00 PM,8611,19 THEFT FR BLDG,TBUT OR DISP FROM BUILDING 514.030 24160 23D,23D,A,YES,4TH DIVISION,412,RESIDENCE/HOME,900 BLOCK S BROOK ST,LOUISVILLE,40203,2
LMPD25077420,7/5/2025 5:42:00 PM,11/1/2024 4:00:00 AM,7090,13 BURGLARY,BURGLARY - 2ND DEGREE 511.030 22061 220,220,A,YES,7TH DIVISION,736,RESIDENCE/HOME,1000 BLOCK MEADOW HILL RD,LOUISVILLE,40219,3
LMPD25067785,6/13/2025 11:18:00 PM,9/15/2024 4:00:00 PM,8544,23 LARCENY,TBUT OR DISP ALL OTHERS 514.030 24095 23H,23H,A,YES,5TH DIVISION,521,INDUSTRIAL SITE,2600 BLOCK BUDDEKE DR,LOUISVILLE,40206,4
LMPD25007340,1/23/2025 4:48:00 PM,3/1/2024 5:01:00 AM,8358,29 FRAUD IMPERSONATION,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT 514.160 23310 26C,26C,A,YES,2ND DIVISION,223,RESIDENCE/HOME,3300 BLOCK KIRBY AVE,LOUISVILLE,40211,5
LMPD25066922,6/11/2025 11:01:00 PM,4/9/2024 4:00:00 AM,8630,23 THEFT OTHER,"THEFT BY DECEPTION INCLUDING COLD CHECKS $1,000 < $10,000 514.040(8)(b) 71287 23H",23H,A,YES,8TH DIVISION,815,RESIDENCE/HOME,1800 BLOCK FLAGSTAFF CT,LOUISVILLE,40223,6
LMPD25007300,1/23/2025 2:55:00 PM,9/3/2024 4:00:00 AM,8631,28 FRAUD CREDIT CARD/ATM,"FRAUDULENT USE OF A CREDIT CARD $1000 < $10,000 434.650(1)(B)(2) 71204 26B",26B,A,YES,6TH DIVISION,612,RESIDENCE/HOME,5100 BLOCK PATTERSON DR,LOUISVILLE,40219,7
LMPD25066864,6/11/2025 8:37:00 PM,7/11/2024 4:00:00 AM,8661,32 EMBEZZLEMENT,"THEFT BY DECEPTION INCLUDING COLD CHECKS $1,000 < $10,000 514.040(8)(b) 71287E 270",270,A,YES,3RD DIVISION,331,SPECIALTY STORE,5200 BLOCK DIXIE HWY,LOUISVILLE,40216,8
LMPD25007079,1/22/2025 9:48:00 PM,11/17/2024 9:48:00 PM,5571,13 BURGLARY,BURGLARY - 3RD DEGREE 511.040 22062 220,220,A,YES,3RD DIVISION,331,RENTAL STORAGE FACILITY,7400 BLOCK GREENWOOD RD,LOUISVILLE,40258,9
LMPD25066357,6/10/2025 6:52:00 PM,8/26/2024 4:01:00 AM,8646,29 FRAUD IMPERSONATION,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT 514.160 23310 26C,26C,A,YES,6TH DIVISION,624,CYBERSPACE,7000 BLOCK BRONNER CIR,LOUISVILLE,40218,10
